Zone,Disponibilité alimentaire (Kcal/personne/jour),Disponibilité alimentaire en quantité (kg/personne/an),Disponibilité intérieure,Exportations - Quantité,Importations - Quantité,Production,population_2017,PIB_2017,stabilite_politique_2017,taux_dependance_importations,balance_commerciale_quantite,PIB_par_habitant
Tchad,2.0,0.45,7.0,0.0,1.0,6.0,15016753.0,13349041408.7152,-1.28639268875122,14.285714285714285,-1.0,888.9432628155502
Tchéquie,82.0,21.96,249.0,27.0,116.0,163.0,10641034.0,221563575696.217,0.990650773048401,41.57706093189964,-89.0,20821.620877841102
Thaïlande,47.0,12.95,881.0,796.0,2.0,1676.0,69209810.0,456356813536.764,-0.754879415035248,0.11918951132300357,794.0,6593.816881404009
Togo,24.0,7.06,54.0,0.0,16.0,40.0,7698474.0,6387424239.8801,-0.874444663524628,28.57142857142857,-16.0,829.7000470327107
Trinité-et-Tobago,189.0,54.54,76.0,0.0,23.0,61.0,1384059.0,23830750900.6899,0.269299238920212,27.380952380952383,-23.0,17218.01664574263
Tunisie,57.0,17.03,195.0,4.0,0.0,213.0,11433443.0,42163530590.9462,-1.02349054813385,0.0,4.0,3687.7369827221946
Turquie,71.0,20.64,1674.0,429.0,3.0,2192.0,81116450.0,863874522365.276,-1.78637635707855,0.1366742596810934,426.0,10649.806819273723
Ukraine,78.0,22.62,1009.0,273.0,121.0,1211.0,44487709.0,112090505081.739,-1.86741781234741,9.084084084084084,152.0,2519.5836693172714
Uruguay,33.0,9.12,33.0,3.0,3.0,33.0,3436641.0,65005997963.4822,1.04009222984314,8.333333333333332,0.0,18915.562598328484
Venezuela (République bolivarienne du),71.0,20.28,626.0,0.0,25.0,600.0,29402484.0,115883275162.586,-1.2522406578064,4.0,-25.0,3941.2750012069046
Viet Nam,48.0,12.33,1206.0,1.0,291.0,918.0,94600648.0,281353605986.903,0.211102172732353,24.069478908188586,-290.0,2974.1192257679145
Yémen,30.0,8.53,246.0,0.0,78.0,168.0,27834819.0,26842229044.5848,-2.93431735038757,31.70731707317073,-78.0,964.3399888673536
Zambie,11.0,3.42,60.0,1.0,12.0,49.0,16853599.0,25873601260.8353,0.142043307423592,19.672131147540984,-11.0,1535.1973937931773
Égypte,50.0,12.96,1250.0,1.0,110.0,1118.0,96442591.0,248362771739.13,-1.42964589595795,8.957654723127035,-109.0,2575.2395198417057
Émirats arabes unis,147.0,43.47,412.0,94.0,433.0,48.0,9487203.0,403365010211.028,0.601949751377106,90.02079002079002,-339.0,42516.74705506228
Équateur,83.0,19.31,341.0,0.0,0.0,340.0,16785361.0,104467486000.0,-0.0789320766925812,0.0,0.0,6223.7259002055425
Îles Salomon,18.0,4.45,3.0,0.0,6.0,0.0,636039.0,1469790526.3972,0.188088729977608,100.0,-6.0,2310.849690659221
